fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40,alg_B48,alg_B56,alg_B64,alg_B72,alg_B80,alg_B88,alg_B96,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1,14,Non-elitist,Elitist,MLSL,MLSL,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,BFGS,MLSL,BFGS,DE,Non-elitist,Non-elitist,MLSL,Elitist,Elitist,DE,Elitist,Elitist,Elitist,Elitist,MLSL,DE,Non-elitist,Elitist,MLSL,Elitist,Non-elitist
1,1,15,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,DE,Elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,DE,DE,DE,DE,Elitist,MLSL,MLSL,MLSL,DE,MLSL,MLSL,Elitist,Elitist,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist
1,1,16,Non-elitist,Non-elitist,Elitist,Non-elitist,BFGS,Non-elitist,Non-elitist,DE,BFGS,DE,MLSL,MLSL,Non-elitist,MLSL,BFGS,DE,DE,MLSL,MLSL,MLSL,Elitist,Non-elitist,Elitist,DE,DE,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,Non-elitist
1,1,17,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,Non-elitist,Non-elitist,DE,DE,DE,BFGS,MLSL,DE,MLSL,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,MLSL,MLSL,DE,Non-elitist,DE,Elitist,DE,BFGS,BFGS,BFGS,DE,Non-elitist
1,1,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Elitist,Non-elitist,MLSL,MLSL,MLSL,DE,Non-elitist,Non-elitist,DE,MLSL,DE,MLSL,Non-elitist,DE,Elitist,BFGS,MLSL,Non-elitist
1,1,19,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,BFGS,Non-elitist,DE,Non-elitist,DE,BFGS,MLSL,BFGS,BFGS,BFGS,DE,DE,Elitist,Non-elitist,BFGS,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,DE,Elitist,BFGS,BFGS,BFGS,Non-elitist
1,2,0,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,DE,DE,Elitist,Elitist,Non-elitist,DE,MLSL,Non-elitist,DE,Elitist,DE,DE,BFGS,Elitist,BFGS,Non-elitist
1,2,1,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,MLSL,MLSL,MLSL,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,MLSL,DE,Non-elitist,DE,MLSL,Non-elitist,DE,Elitist,PSO,BFGS,Non-elitist
1,2,2,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,DE,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,DE,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,BFGS,Non-elitist
1,2,3,Non-elitist,Elitist,MLSL,Non-elitist,Non-elitist,Non-elitist,DE,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Non-elitist,MLSL,Elitist,DE,MLSL,Non-elitist,MLSL,Elitist,Non-elitist,MLSL,Elitist,Elitist,DE,Elitist,Non-elitist,MLSL,Non-elitist
1,2,4,Non-elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,Non-elitist,Non-elitist,DE,BFGS,DE,Elitist,MLSL,Non-elitist,Elitist,Elitist,MLSL,Elitist,MLSL,Non-elitist,DE,BFGS,DE,BFGS,Non-elitist
1,2,5,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,MLSL,MLSL,DE,Elitist,Elitist,Non-elitist,DE,DE,DE,BFGS,BFGS,Non-elitist,Non-elitist
1,2,6,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,BFGS,DE,Non-elitist,MLSL,MLSL,DE,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,MLSL,DE,PSO,Non-elitist
1,2,7,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,DE,DE,Non-elitist,Elitist,Non-elitist,MLSL,DE,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,PSO,DE,MLSL,Non-elitist
1,2,8,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,BFGS,DE,MLSL,DE,Elitist,DE,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,DE,BFGS,PSO,BFGS,Non-elitist
1,2,9,DE,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,DE,DE,Elitist,MLSL,Elitist,DE,Elitist,Non-elitist,MLSL,MLSL,Elitist,DE,BFGS,Elitist,BFGS,Non-elitist
1,2,10,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,DE,MLSL,Elitist,DE,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,BFGS,BFGS,Non-elitist
1,2,11,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,DE,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,BFGS,Elitist,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Elitist,Elitist,DE,DE,Elitist,PSO,BFGS,Non-elitist
1,2,12,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,MLSL,Elitist,Elitist,Elitist,Non-elitist,DE,Elitist,Non-elitist,Non-elitist,DE,DE,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist
1,2,13,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,DE,Elitist,Elitist,Non-elitist,MLSL,DE,DE,MLSL,Elitist,Non-elitist,DE,BFGS,DE,MLSL,Non-elitist
1,2,14,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,DE,MLSL,Elitist,Elitist,Non-elitist,DE,DE,Non-elitist,BFGS,PSO,MLSL,Non-elitist
1,2,15,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,MLSL,DE,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,Non-elitist,BFGS,BFGS,Non-elitist
1,2,16,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,DE,Elitist,Elitist,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,Elitist,Elitist,DE,MLSL,Elitist,Elitist,DE,DE,DE,DE,Non-elitist,BFGS,BFGS,Non-elitist
1,2,17,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,DE,Elitist,Non-elitist,BFGS,Elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,BFGS,PSO,PSO,Non-elitist
1,2,18,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,Elitist,BFGS,Elitist,Elitist,Elitist,Elitist,MLSL,Elitist,DE,Non-elitist,Elitist,DE,DE,BFGS,Non-elitist,BFGS,Non-elitist
1,2,19,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,BFGS,DE,Elitist,Elitist,Non-elitist,MLSL,Elitist,DE,MLSL,Elitist,Elitist,DE,BFGS,PSO,PSO,Non-elitist
1,3,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,Elitist,DE,MLSL,Non-elitist,DE,Non-elitist,DE,Non-elitist,MLSL,Non-elitist,DE,MLSL,Non-elitist,MLSL,Non-elitist,Elitist,DE,Elitist,BFGS,Non-elitist,Elitist,DE,Non-elitist
1,3,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,DE,Elitist,MLSL,MLSL,Elitist,Elitist,Elitist,BFGS,MLSL,MLSL,Non-elitist,MLSL,Elitist,Non-elitist,DE,DE,Elitist,Elitist,BFGS,Non-elitist,Non-elitist,Elitist,Non-elitist
1,3,2,Non-elitist,Elitist,Elitist,BFGS,Non-elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,Elitist,MLSL,MLSL,Elitist,DE,DE,Elitist,MLSL,DE,DE,DE,Non-elitist,MLSL,Non-elitist,Non-elitist,DE,Elitist,BFGS,BFGS,PSO,Non-elitist
1,3,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,DE,MLSL,Elitist,MLSL,Elitist,Non-elitist,Elitist,MLSL,Elitist,Elitist,MLSL,DE,Elitist,DE,DE,MLSL,Elitist,Elitist,BFGS,BFGS,Elitist,MLSL,Non-elitist
1,3,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,Elitist,Elitist,MLSL,Elitist,Non-elitist,BFGS,Elitist,MLSL,DE,Elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,BFGS,Non-elitist,Elitist,MLSL,Non-elitist
1,3,5,Non-elitist,Non-elitist,MLSL,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,Non-elitist,Elitist,Elitist,Non-elitist,DE,DE,Elitist,Non-elitist,Elitist,BFGS,Non-elitist
1,3,6,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,MLSL,DE,DE,MLSL,Non-elitist,Elitist,BFGS,BFGS,Elitist,Elitist,MLSL,MLSL,Non-elitist,Elitist,DE,Elitist,DE,Elitist,BFGS,BFGS,BFGS,PSO,Non-elitist
1,3,7,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,BFGS,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,DE,MLSL,Non-elitist
1,3,8,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,DE,BFGS,DE,Elitist,MLSL,MLSL,MLSL,DE,MLSL,BFGS,BFGS,BFGS,BFGS,Non-elitist,MLSL,MLSL,MLSL,DE,DE,DE,Elitist,DE,Non-elitist,Elitist,Non-elitist,Non-elitist
1,3,9,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,BFGS,Elitist,Elitist,MLSL,Non-elitist,Elitist,BFGS,Non-elitist,Elitist,Non-elitist,MLSL,MLSL,Elitist,Elitist,DE,DE,DE,Elitist,BFGS,BFGS,BFGS,MLSL,Non-elitist
1,3,10,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,Elitist,MLSL,MLSL,Elitist,MLSL,Elitist,BFGS,MLSL,MLSL,MLSL,MLSL,DE,Elitist,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,DE,Non-elitist
1,3,11,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,MLSL,Elitist,Elitist,DE,Non-elitist,Elitist,Elitist,DE,MLSL,MLSL,Non-elitist,MLSL,MLSL,Elitist,Non-elitist,Elitist,DE,Elitist,DE,PSO,Elitist,PSO,Non-elitist
1,3,12,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,MLSL,Elitist,Elitist,Elitist,Elitist,Elitist,DE,DE,Non-elitist,Non-elitist,MLSL,MLSL,Non-elitist,Elitist,Non-elitist,DE,Elitist,Elitist,MLSL,DE,Elitist,Non-elitist,BFGS,Elitist,Elitist,Non-elitist
1,3,13,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,DE,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,DE,DE,DE,Elitist,Elitist,Elitist,Non-elitist,DE,DE,Non-elitist,MLSL,BFGS,Non-elitist
1,3,14,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,DE,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,Elitist,Non-elitist
1,3,15,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist,DE,Non-elitist,Non-elitist,MLSL,DE,Elitist,MLSL,BFGS,Elitist,BFGS,DE,MLSL,DE,MLSL,DE,DE,Non-elitist,DE,DE,DE,DE,DE,Non-elitist,BFGS,MLSL,Non-elitist
1,3,16,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,Elitist,Elitist,MLSL,DE,MLSL,Non-elitist,BFGS,Elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,MLSL,DE,DE,Non-elitist,MLSL,Elitist,Elitist,DE,Elitist,Non-elitist,PSO,Non-elitist
1,3,17,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,Non-elitist,MLSL,BFGS,Elitist,Elitist,Elitist,DE,Elitist,Elitist,DE,DE,PSO,BFGS,MLSL,Non-elitist
1,3,18,Non-elitist,Non-elitist,Elitist,MLSL,Non-elitist,Non-elitist,DE,Non-elitist,MLSL,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,BFGS,Elitist,Elitist,DE,MLSL,DE,Elitist,Elitist,Elitist,Elitist,Non-elitist,DE,Non-elitist,DE,Non-elitist,Non-elitist
1,3,19,Non-elitist,Elitist,BFGS,Non-elitist,Non-elitist,Elitist,MLSL,Non-elitist,MLSL,DE,DE,MLSL,DE,BFGS,Elitist,BFGS,Elitist,BFGS,Non-elitist,MLSL,Non-elitist,Non-elitist,DE,Non-elitist,DE,DE,BFGS,BFGS,BFGS,MLSL,Non-elitist
1,4,0,Non-elitist,Elitist,Elitist,Elitist,MLSL,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,DE,MLSL,MLSL,DE,DE,MLSL,MLSL,DE,Elitist,Elitist,Non-elitist,MLSL,Non-elitist
1,4,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,Non-elitist,Non-elitist,Elitist,MLSL,Non-elitist,MLSL,DE,DE,Elitist,DE,Elitist,DE,BFGS,Non-elitist,DE,PSO,Non-elitist
1,4,2,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,BFGS,Elitist,Non-elitist,Non-elitist,Elitist,DE,MLSL,MLSL,Elitist,MLSL,Non-elitist,DE,Elitist,PSO,BFGS,Non-elitist
1,4,3,Non-elitist,Elitist,BFGS,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,MLSL,MLSL,MLSL,MLSL,MLSL,Elitist,Non-elitist,DE,Elitist,DE,Non-elitist,Elitist,DE,Non-elitist,DE,DE,Elitist,Non-elitist,DE,Non-elitist,DE,BFGS,Non-elitist
1,4,4,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,DE,Elitist,Elitist,Elitist,DE,Non-elitist,DE,Elitist,Elitist,BFGS,PSO,MLSL,Non-elitist
1,4,5,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,MLSL,Elitist,Non-elitist,BFGS,Elitist,Elitist,Elitist,Elitist,DE,MLSL,Elitist,Non-elitist,DE,DE,Non-elitist,BFGS,PSO,Elitist,Non-elitist
1,4,6,Non-elitist,Elitist,Elitist,Non-elitist,BFGS,DE,Non-elitist,Non-elitist,Non-elitist,DE,Non-elitist,Non-elitist,MLSL,MLSL,Non-elitist,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,Non-elitist,Elitist,Elitist,DE,Non-elitist,DE,BFGS,PSO,Non-elitist,Non-elitist
1,4,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,DE,Non-elitist,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,BFGS,BFGS,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,DE,DE,MLSL,Elitist,Elitist,Non-elitist,BFGS,PSO,DE,Non-elitist
1,4,8,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,Elitist,BFGS,DE,Elitist,DE,Non-elitist,MLSL,MLSL,Elitist,DE,Non-elitist,Elitist,DE,Elitist,BFGS,PSO,BFGS,Non-elitist
1,4,9,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,DE,DE,DE,Non-elitist,DE,Non-elitist,BFGS,DE,MLSL,DE,MLSL,MLSL,DE,Elitist,MLSL,Non-elitist,Elitist,MLSL,Elitist,PSO,BFGS,Non-elitist
1,4,10,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,DE,Elitist,Elitist,MLSL,Elitist,MLSL,MLSL,Non-elitist,DE,DE,Non-elitist,DE,MLSL,Elitist,MLSL,MLSL,DE,MLSL,MLSL,Elitist,DE,Elitist,Elitist,PSO,BFGS,Non-elitist
1,4,11,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Elitist,MLSL,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,MLSL,Elitist,Non-elitist,DE,DE,Elitist,BFGS,Elitist,Elitist,Non-elitist,Non-elitist
1,4,12,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,MLSL,Elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,Non-elitist,Elitist,DE,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,DE,MLSL,DE,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
1,4,13,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,MLSL,Elitist,Non-elitist,Non-elitist,DE,Elitist,Elitist,MLSL,DE,Non-elitist,Elitist,Elitist,DE,MLSL,DE,MLSL,MLSL,Elitist,BFGS,Elitist,Elitist,Non-elitist,PSO,PSO,Non-elitist
1,4,14,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,DE,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,BFGS,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,DE,Elitist,Non-elitist,MLSL,Elitist,Elitist,Elitist,MLSL,MLSL,Non-elitist
1,4,15,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,BFGS,DE,Elitist,Elitist,DE,Elitist,Elitist,MLSL,Non-elitist,Elitist,Non-elitist,Elitist,PSO,Non-elitist,Non-elitist
1,4,16,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,Non-elitist,DE,Elitist,Elitist,Elitist,BFGS,Elitist,Elitist,DE,Non-elitist,DE,Non-elitist,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,DE,Elitist,Elitist,Elitist,Elitist,Elitist,BFGS,Non-elitist
1,4,17,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,DE,DE,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,DE,Non-elitist,Elitist,DE,Elitist,MLSL,MLSL,BFGS,MLSL,Elitist,Elitist,DE,DE,DE,Elitist,PSO,Non-elitist,Non-elitist
1,4,18,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,Non-elitist,DE,MLSL,Elitist,MLSL,Elitist,MLSL,MLSL,Elitist,DE,Non-elitist,DE,DE,Elitist,Non-elitist,DE,Non-elitist,DE,Non-elitist,Elitist,BFGS,PSO,BFGS,Non-elitist
