feature,importance
"pc_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.009518055808649818
d_norm__minimum,0.009483606365534043
ps_norm__sum_values,0.008737936424515409
"d_mean__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.008146716408196683
"pc_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.007789176082864279
pc_norm__c3__lag_1,0.007766294784436504
"pc_norm__fft_coefficient__attr_""real""__coeff_0",0.007687784945477592
"d_mean__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.007687615174403115
"pc_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.0076446278131133034
"pc_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.007550304323543477
"pc_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.007508737313549699
"d_mean__fft_aggregated__aggtype_""centroid""",0.007369646096010232
sigma__mean_change,0.007071141644968277
d_norm__time_reversal_asymmetry_statistic__lag_1,0.007022485262096101
"ps_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.006820719565345972
"ps_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.006726500754003757
d_mean__minimum,0.006608905701841209
pc_norm__c3__lag_3,0.006487223775098139
d_norm__absolute_sum_of_changes,0.006427268090598733
"ps_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.006327306027250028
pc_norm__root_mean_square,0.006267182127268257
pc_norm__mean,0.00615393623612205
"sigma__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0060363290331092645
"sigma__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.00592466065872248
"pc_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.0059114263112871246
"sigma__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",0.0058559594073779656
d_norm__mean_change,0.005837478526943695
"sigma__fft_aggregated__aggtype_""variance""",0.005800424015311845
d_mean__variation_coefficient,0.005755622925936887
d_norm__mean_abs_change,0.00557097206054249
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.005563999424082673
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00549131514190732
"sigma__fft_coefficient__attr_""imag""__coeff_4",0.005468197148027063
"pc_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.005462479675977199
d_mean__mean_change,0.00535110935720525
pc_norm__sum_values,0.005252151470816867
"pc_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.005237392802306252
"sigma__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.004968242810404586
d_norm__variation_coefficient,0.004937432766755933
ps_norm__c3__lag_3,0.004935533124049712
"sigma__fft_coefficient__attr_""real""__coeff_6",0.004930103549590952
"mhl_mean__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.004904547026638977
"d_norm__fft_aggregated__aggtype_""centroid""",0.0048691212286182325
d_norm__time_reversal_asymmetry_statistic__lag_2,0.004802262497759233
"sigma__fft_coefficient__attr_""abs""__coeff_5",0.0047995655617986245
"d_mean__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.00477600897788647
"sigma__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.004724561951865611
"sigma__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.004684766511458152
"pc_norm__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.0046733025871748355
ps_norm__root_mean_square,0.004659037933699333
