feature,importance
"d_norm__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.011902375364503528
"d_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.011200060345194617
d_mean__root_mean_square,0.01090499820747099
d_mean__minimum,0.010777341958244558
d_mean__quantile__q_0.2,0.01019150702179169
"d_mean__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.010081159126582
"d_mean__fft_coefficient__attr_""real""__coeff_0",0.009657497940257158
pc_norm__maximum,0.00884136019827806
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.008828562120178829
ps_norm__quantile__q_0.9,0.008723613117092528
"d_mean__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.00865446038779013
"d_mean__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.008598009436626862
d_mean__mean_abs_change,0.008454766457474241
"d_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.008429450287475316
"sigma__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00828808014704447
"d_mean__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.008118747765846092
"d_norm__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.00801367122184709
"d_mean__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.008010512190406624
"d_norm__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.007893725714838266
d_mean__cid_ce__normalize_False,0.007827119371134223
"d_mean__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.007640597819924719
ps_norm__quantile__q_0.8,0.007295793944052847
"d_mean__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.007212529062313847
"d_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.007130619772020448
"d_norm__fft_coefficient__attr_""abs""__coeff_0",0.006961317101265
"d_mean__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.0068525331722030765
ps_norm__maximum,0.006790967920934194
d_mean__c3__lag_1,0.006763267519125933
d_norm__quantile__q_0.1,0.006736748155808475
"d_norm__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.006491996835525041
d_mean__absolute_sum_of_changes,0.00639809207488225
"sigma__fft_coefficient__attr_""real""__coeff_2",0.006148022997351741
d_mean__median,0.006060422025864581
"ps_norm__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.00593113570517274
pc_norm__sum_values,0.005687908791740001
sigma__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.005593890058184362
"d_norm__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.005410861284469226
"d_mean__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.005378932326803983
sigma__mean_change,0.005367897388927996
ps_norm__mean,0.005341186321294925
"d_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.005333505710451338
d_norm__sum_values,0.005298164008571055
d_norm__quantile__q_0.2,0.005278186943402164
"ps_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.005186882757028444
"sigma__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.005171044292500969
d_norm__quantile__q_0.3,0.005101502235810998
"d_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.005046649312032104
sigma__mean_abs_change,0.005005164016662479
d_norm__root_mean_square,0.004983827137911386
"d_norm__fft_coefficient__attr_""real""__coeff_0",0.004883619750878992
d_mean__quantile__q_0.3,0.004859354765404813
"sigma__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.004858753360929513
pc_norm__root_mean_square,0.0048406668869553915
d_norm__cid_ce__normalize_False,0.004838120094443891
