fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,best_precision_t+0,best_precision_t+1,best_precision_t+2,best_precision_t+3,best_precision_t+4,best_precision_t+5,best_precision_t+6,best_precision_t+7,best_precision_t+8,best_precision_t+9,best_precision_t+10,best_precision_t+11,best_precision_t+12,best_precision_t+13,best_precision_t+14,best_precision_t+15,best_precision_t+16,best_precision_t+17,best_precision_t+18,best_precision_t+19
1,1.0,0.0,1,0.4318613728683903,0.0974932422029885,0.6666666666666667,0.4818954018674783,0.1003094899344802,6.9752335286260265e-09,5.863587346788164e-09,0.0001319143859677,0.7692643766270882,0.9999999999999868,6.752352956016904e-13,0.5203252032520325,0.1863636363636363,0.190681233536702,0.2666666666666666,0.196969696969697,0.0703911662309955,0.0821306049883965,0.1232214125275627,0.2714150929832862,0.2462647503252821,0.083489872120405,0.0851783716992332,0.2987638552130818,0.2601877402416885,0.161516853662155,0.2199358856248141,0.3448114172053049,0.3261503655026982,0.1773838887466,0.1699333909380483,0.3666343044370045,0.3594502459195929,0.7401956642821561,0.058673469387755,2.214813101669563e-07,0.092814371257485,0.3928571428571429,0.9191718887896784,0.7604466974133528,0.9229787563263278,0.3428461908646339,0.5241018662861744,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,1.0,1,0.3933878623221664,0.0492194375858502,0.0,0.639446374739046,0.100309486106339,2.2938478253828119e-10,5.7290200131882775e-09,0.0046349549897513,0.8078516551984193,0.9999999999999828,4.977705971205299e-13,0.2926829268292682,0.1454545454545453,0.1429857624635668,0.3866666666666667,0.3080808080808081,0.06835961200864,0.2089908200055307,0.2570659448674138,0.3570589601299551,0.3310629083581679,0.21626447243392,0.2206382061736668,0.3700840519241307,0.3544315952685379,0.3347624439050244,0.4347833265028902,0.5333953856858689,0.5175239345080715,0.3486479108979599,0.3467591260078975,0.5356895298997519,0.5497806722115782,0.7401956642821561,0.0306122448979591,8.399586660827496e-08,0.0269461077844311,0.4999999999999999,0.7872478387226514,0.745383824202607,0.902729154293829,0.3832293858600408,0.542353161920487,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,2.0,1,0.4302593440129977,0.0711115492062304,0.3333333333333333,0.5803634166899186,0.1003094842891869,3.1870589818111026e-08,4.676848513925057e-09,1.5676908801903277e-06,0.8715672509289343,0.999999999999986,2.7796968404754678e-12,0.7073170731707318,0.1909090909090907,0.2491785058471055,0.2666666666666666,0.106060606060606,0.1212688295566137,0.0804749299246736,0.2440031530932142,0.2805074869107501,0.2811130941892226,0.0803937087380364,0.2247859317680361,0.3063802007102263,0.3001042296691283,0.2031867129571069,0.3733850855004268,0.412545551160089,0.4153008071896679,0.2104897299733041,0.311301747756075,0.4198305888093814,0.4407862907668594,0.6349553737809928,0.0331632653061224,1.813164545033365e-07,0.059880239520958,0.3928571428571429,0.8677510300438178,0.8280150062939331,0.8803128008405464,0.2684382821483937,0.5456952229117211,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,3.0,1,0.4046686084590494,0.0627012419865419,0.0,0.3684842574117343,0.1003094843273662,1.2392452543320097e-08,3.882249172007435e-09,3.429645018681485e-05,0.788220081709007,0.9999999999999798,3.714178582205595e-12,0.8536585365853658,0.1227272727272727,0.4410413207165888,0.3555555555555556,0.1666666666666667,0.1133403684062888,0.1079724705602914,0.1615019328451747,0.2756574812100406,0.2262078517249105,0.10801629671635,0.1312608175214511,0.2763940116391881,0.2137742633268685,0.2344480929414553,0.3220708316524734,0.4247689698133075,0.3891515636091306,0.2414893831940993,0.2512993786321125,0.4114927932374333,0.3910787388452621,0.7133749008434596,0.0255102040816326,1.976218640509343e-07,0.0838323353293412,0.2857142857142855,0.9280347796090777,0.827067840188004,0.9146099451412212,0.3522509744558819,0.4209929177182929,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,4.0,1,0.5443212425913504,0.1864863947928774,0.6666666666666667,0.4653364889469094,0.1003094875169317,1.227616137442321e-08,4.006283217349037e-09,3.666586795297524e-05,0.8672677794041282,0.9999999999999768,5.607178019760421e-12,0.6829268292682927,0.209090909090909,0.2212458460646341,0.6000000000000001,0.4494949494949496,0.0761782094349584,0.1699059252303006,0.2083307107490625,0.2856587301486465,0.2670543185086057,0.1787695863961881,0.178532941787884,0.2856883711137003,0.2836173557343683,0.2815090498112702,0.3611740034769902,0.4363929174703733,0.4242244131398849,0.3038673728375897,0.2979131380762942,0.4405504442482489,0.4649323563201595,0.7114708451729801,0.0229591836734693,1.5207252848204324e-07,0.0479041916167664,0.6428571428571427,0.9030446002491048,0.8104313696771328,0.9504371819821312,0.3708428878049197,0.5340299894121784,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,5.0,1,0.4963547614480941,0.1268788961016617,0.6666666666666667,0.6704785531719399,0.1003094868602469,1.0736319964138478e-08,5.361295202206409e-09,6.812725434430966e-05,0.8998443116834481,0.9999999999999868,5.578354093346881e-12,0.8780487804878049,0.1772727272727272,0.3279920105666699,0.3911111111111112,0.1767676767676768,0.1192801072180739,0.0459942733551616,0.1777150451910456,0.2521707076563702,0.1598778060404512,0.0485291073957784,0.1734286163716841,0.3095011673916975,0.1986201643737358,0.2258691938222139,0.3740398199201032,0.4558497925444743,0.3943376918565537,0.247053095966345,0.3166341508672772,0.4939602569235052,0.4495928834552704,0.6254139244938439,0.0178571428571428,8.685438819624784e-08,0.0449101796407185,0.2142857142857142,0.8261536738189434,0.8325105470100089,0.9696394315800088,0.220854681607046,0.692002082893419,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,6.0,1,0.4096888495774823,0.0598548462420985,0.3333333333333333,0.4800072217054031,0.1003094850904276,1.0005059311166928e-08,5.5243180802015636e-09,7.79342358964983e-05,0.7019334478096211,0.999999999999976,3.5767698617359192e-12,0.6504065040650407,0.1954545454545454,0.2250519227696878,0.4533333333333334,0.2828282828282829,0.0898560562546777,0.1203688968941279,0.2219081213034794,0.2909363783693574,0.2355362448962255,0.122598769269526,0.1959971891767398,0.301075811325387,0.2646778852776242,0.261814451540071,0.3901216425888049,0.4639376128079002,0.4261681308551628,0.273307723256825,0.3155516116305833,0.4621022721178882,0.462736458323307,0.7354596165343683,0.0357142857142857,1.865694344234181e-07,0.0658682634730539,0.4999999999999999,0.917834365843925,0.8222892161783504,0.9271515673079284,0.4194525518456756,0.5304335591237279,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,7.0,1,0.3082095500554123,0.0088050039629204,0.0,0.232378332806408,0.1003094826262627,1.2076916831691595e-09,3.0863225857344404e-09,0.0004793880980102,0.7165814659651151,0.999999999999952,1.6005033263337756e-12,0.821138211382114,0.0863636363636363,0.5662162945781386,0.5288888888888889,0.2424242424242425,0.1239874031967358,0.1364716846368953,0.1650075294764311,0.2081687837550593,0.129066074988734,0.1348549179919797,0.12852733603643,0.2128072602193818,0.1099245928688975,0.2723659223470311,0.3495496578539985,0.4065811837407516,0.3511081350673641,0.2745177575455109,0.2640854065772048,0.3879992797258438,0.3431514296131094,0.5294972689253645,0.0306122448979591,1.1571355896721245e-07,0.0508982035928144,0.4999999999999999,0.8574186418430962,0.9417837453359974,0.9479289997508634,0.0974170286369873,0.3339171080270549,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,8.0,1,0.4802316487181163,0.1352089632899269,0.3333333333333333,0.5066967813398955,0.100309479879111,3.1749417376906715e-09,6.194271929105761e-09,0.0003398554479727,0.7984496945684967,0.99999999999999,3.010375192939556e-12,0.788617886178862,0.2318181818181818,0.2303540817831764,0.3777777777777776,0.1616161616161615,0.1243127923196848,0.116105521118402,0.1797655493905418,0.2434526075696356,0.1333193212043228,0.1196688421330794,0.1300704195411648,0.240108685352729,0.1720430215324104,0.2384603217792741,0.3335717360414781,0.3978655061746858,0.3154684453918489,0.2552474185214179,0.255949102628438,0.3926520414128995,0.3699850205627197,0.4934915781371278,0.0382653061224489,9.272011799465245e-08,0.0389221556886226,0.1785714285714285,0.8900409607123183,0.9358967482700268,0.9430591590078826,0.2068937907671148,0.5106634974255468,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1.0,9.0,1,0.4778832645539198,0.1002793903021012,0.0,0.6645897849922379,0.1003094861559347,1.5740042535321482e-08,7.32591076184888e-09,6.020794792993229e-05,0.8462327211967535,0.9999999999999865,3.771466490075804e-12,0.6666666666666669,0.2636363636363636,0.1727312264424471,0.48,0.2575757575757576,0.1051308368094462,0.0974235894151919,0.2120981137211562,0.3226975601106188,0.2335718162184069,0.1042531983060296,0.1700435511354828,0.374414120293171,0.2888674676385848,0.2476274778527147,0.3845328797278959,0.4873512539120648,0.4265927848179859,0.273615865501529,0.3089150507427126,0.5278613540965643,0.496524542191406,0.5517304451791649,0.0255102040816326,1.475608340860111e-07,0.0538922155688622,0.2857142857142855,0.8087913521895294,0.7674782341189577,0.9406690624119336,0.3140723538899455,0.6891540956655182,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
