feature,importance
"mhl_mean__fft_coefficient__attr_""abs""__coeff_0",0.011517041038963123
d_mean__minimum,0.010127762503736419
d_norm__absolute_sum_of_changes,0.009265105719029528
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.008668566250833778
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.008018499198102162
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.007469958686992401
"d_norm__fft_aggregated__aggtype_""centroid""",0.006973616885681115
"d_mean__fft_aggregated__aggtype_""variance""",0.006809885429905515
d_mean__mean_change,0.006698951315194792
mhl_mean__sum_values,0.006682970327223798
d_mean__cid_ce__normalize_False,0.006185980332085727
"pc_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.005968524744099142
"mhl_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.005904902463785815
mhl_mean__root_mean_square,0.0058024286559441585
"mhl_mean__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0057002713745161705
"pc_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.005692657977242158
mhl_mean__c3__lag_1,0.005407123235378726
"sigma__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.005378236749016499
sigma__quantile__q_0.6,0.00536010960389298
"d_mean__fft_coefficient__attr_""abs""__coeff_10",0.0053474250333253
d_mean__time_reversal_asymmetry_statistic__lag_2,0.005342680780173534
"d_norm__fft_coefficient__attr_""abs""__coeff_15",0.005297734660056681
d_mean__variation_coefficient,0.005294428140232319
"pc_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.005275503133698663
mhl_mean__quantile__q_0.4,0.005156572638480752
"d_norm__fft_coefficient__attr_""abs""__coeff_9",0.0051261975903231635
"d_mean__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.004971571701641121
d_mean__mean_n_absolute_max__number_of_maxima_7,0.004877330721378107
d_norm__cid_ce__normalize_False,0.004850123574290462
"d_mean__fft_aggregated__aggtype_""skew""",0.004823023069562715
"pc_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.0047941940538646895
"d_mean__fft_coefficient__attr_""abs""__coeff_13",0.004722121618185773
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.004713193008857098
d_norm__quantile__q_0.2,0.004705462346390516
mhl_norm__c3__lag_3,0.004675519238180185
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.004650417412866199
"ps_norm__linear_trend__attr_""intercept""",0.0046458559481991745
d_norm__mean,0.004627913530020371
"d_norm__fft_coefficient__attr_""imag""__coeff_4",0.004624877549682024
"ps_norm__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.004590266923695016
