fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,0,MLSL,0.0
1,1,1,0,MLSL,0.0
1,1,2,0,MLSL,0.0
1,1,3,0,MLSL,0.0
1,1,4,0,MLSL,0.0
1,1,5,0,MLSL,0.0
1,1,6,0,MLSL,0.0
1,1,7,0,MLSL,0.0
1,1,8,0,MLSL,0.0
1,1,9,0,MLSL,0.0
1,1,10,0,MLSL,0.0
1,1,11,0,MLSL,0.0
1,1,12,0,MLSL,0.0
1,1,13,0,MLSL,0.0
1,1,14,0,MLSL,0.0
1,1,15,0,MLSL,0.0
1,1,16,0,MLSL,0.0
1,1,17,0,MLSL,0.0
1,1,18,0,MLSL,0.0
1,1,19,0,MLSL,0.0
1,2,0,0,MLSL,0.0
1,2,1,0,MLSL,0.0
1,2,2,0,MLSL,0.0
1,2,3,0,MLSL,0.0
1,2,4,0,MLSL,0.0
1,2,5,0,MLSL,0.0
1,2,6,0,MLSL,0.0
1,2,7,0,MLSL,0.0
1,2,8,0,MLSL,0.0
1,2,9,0,MLSL,0.0
1,2,10,0,MLSL,0.0
1,2,11,0,MLSL,0.0
1,2,12,0,MLSL,0.0
1,2,13,0,MLSL,0.0
1,2,14,0,MLSL,0.0
1,2,15,0,MLSL,0.0
1,2,16,0,MLSL,0.0
1,2,17,0,MLSL,0.0
1,2,18,0,MLSL,0.0
1,2,19,0,MLSL,0.0
1,3,0,0,MLSL,0.0
1,3,1,0,MLSL,0.0
1,3,2,0,MLSL,0.0
1,3,3,0,MLSL,0.0
1,3,4,0,MLSL,0.0
1,3,5,0,MLSL,0.0
1,3,6,0,MLSL,0.0
1,3,7,0,MLSL,0.0
1,3,8,0,MLSL,0.0
1,3,9,0,MLSL,0.0
1,3,10,0,MLSL,0.0
1,3,11,0,MLSL,0.0
1,3,12,0,MLSL,0.0
1,3,13,0,MLSL,0.0
1,3,14,0,MLSL,0.0
1,3,15,0,MLSL,0.0
1,3,16,0,MLSL,0.0
1,3,17,0,MLSL,0.0
1,3,18,0,MLSL,0.0
1,3,19,0,MLSL,0.0
1,4,0,0,MLSL,0.0
1,4,1,0,MLSL,0.0
1,4,2,0,MLSL,0.0
1,4,3,0,MLSL,0.0
1,4,4,0,MLSL,0.0
1,4,5,0,MLSL,0.0
1,4,6,0,MLSL,0.0
1,4,7,0,MLSL,0.0
1,4,8,0,MLSL,0.0
1,4,9,0,MLSL,0.0
1,4,10,0,MLSL,0.0
1,4,11,0,MLSL,0.0
1,4,12,0,MLSL,0.0
1,4,13,0,MLSL,0.0
1,4,14,0,MLSL,0.0
1,4,15,0,MLSL,0.0
1,4,16,0,MLSL,0.0
1,4,17,0,MLSL,0.0
1,4,18,0,MLSL,0.0
1,4,19,0,MLSL,0.0
1,5,0,0,MLSL,0.0
1,5,1,0,MLSL,0.0
1,5,2,0,MLSL,0.0
1,5,3,0,MLSL,0.0
1,5,4,0,MLSL,0.0
1,5,5,0,MLSL,0.0
1,5,6,0,MLSL,0.0
1,5,7,0,MLSL,0.0
1,5,8,0,MLSL,0.0
1,5,9,0,MLSL,0.0
1,5,10,0,MLSL,0.0
1,5,11,0,MLSL,0.0
1,5,12,0,MLSL,0.0
1,5,13,0,MLSL,0.0
1,5,14,0,MLSL,0.0
1,5,15,0,MLSL,0.0
1,5,16,0,MLSL,0.0
1,5,17,0,MLSL,0.0
1,5,18,0,MLSL,0.0
1,5,19,0,MLSL,0.0
1,6,0,0,MLSL,0.0
1,6,1,0,MLSL,0.0
1,6,2,0,MLSL,0.0
1,6,3,0,MLSL,0.0
1,6,4,0,MLSL,0.0
1,6,5,0,MLSL,0.0
1,6,6,0,MLSL,0.0
1,6,7,0,MLSL,0.0
1,6,8,0,MLSL,0.0
1,6,9,0,MLSL,0.0
1,6,10,0,MLSL,0.0
