fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,0,Elitist,0.0
1,1,1,0,Elitist,0.0
1,1,2,0,Elitist,0.0
1,1,3,0,Elitist,0.0
1,1,4,0,Elitist,0.0
1,1,5,0,Elitist,0.0
1,1,6,0,Elitist,0.0
1,1,7,0,Elitist,0.0
1,1,8,0,Elitist,0.0
1,1,9,0,Elitist,0.0
1,1,10,0,Elitist,0.0
1,1,11,0,Elitist,0.0
1,1,12,0,Elitist,0.0
1,1,13,0,Elitist,0.0
1,1,14,0,Elitist,0.0
1,1,15,0,Elitist,0.0
1,1,16,0,Elitist,0.0
1,1,17,0,Elitist,0.0
1,1,18,0,Elitist,0.0
1,1,19,0,Elitist,0.0
1,2,0,0,Elitist,0.0
1,2,1,0,Elitist,0.0
1,2,2,0,Elitist,0.0
1,2,3,0,Elitist,0.0
1,2,4,0,Elitist,0.0
1,2,5,0,Elitist,0.0
1,2,6,0,Elitist,0.0
1,2,7,0,Elitist,0.0
1,2,8,0,Elitist,0.0
1,2,9,0,Elitist,0.0
1,2,10,0,Elitist,0.0
1,2,11,0,Elitist,0.0
1,2,12,0,Elitist,0.0
1,2,13,0,Elitist,0.0
1,2,14,0,Elitist,0.0
1,2,15,0,Elitist,0.0
1,2,16,0,Elitist,0.0
1,2,17,0,Elitist,0.0
1,2,18,0,Elitist,0.0
1,2,19,0,Elitist,0.0
1,3,0,0,Elitist,0.0
1,3,1,0,Elitist,0.0
1,3,2,0,Elitist,0.0
1,3,3,0,Elitist,0.0
1,3,4,0,Elitist,0.0
1,3,5,0,Elitist,0.0
1,3,6,0,Elitist,0.0
1,3,7,0,Elitist,0.0
1,3,8,0,Elitist,0.0
1,3,9,0,Elitist,0.0
1,3,10,0,Elitist,0.0
1,3,11,0,Elitist,0.0
1,3,12,0,Elitist,0.0
1,3,13,0,Elitist,2.842170943040401e-14
1,3,14,0,Elitist,0.0
1,3,15,0,Elitist,0.0
1,3,16,0,Elitist,0.0
1,3,17,0,Elitist,0.0
1,3,18,0,Elitist,0.0
1,3,19,0,Elitist,0.0
1,4,0,0,Elitist,0.0
1,4,1,0,Elitist,0.0
1,4,2,0,Elitist,0.0
1,4,3,0,Elitist,0.0
1,4,4,0,Elitist,0.0
1,4,5,0,Elitist,0.0
1,4,6,0,Elitist,0.0
1,4,7,0,Elitist,2.842170943040401e-14
1,4,8,0,Elitist,0.0
1,4,9,0,Elitist,0.0
1,4,10,0,Elitist,0.0
1,4,11,0,Elitist,0.0
1,4,12,0,Elitist,0.0
1,4,13,0,Elitist,0.0
1,4,14,0,Elitist,0.0
