feature,importance
d_norm__cid_ce__normalize_False,0.007727963833223928
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.007357896049249524
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.007092115477030464
"d_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.006916522592042218
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.006481127269980355
d_norm__time_reversal_asymmetry_statistic__lag_3,0.006291803192446883
"d_mean__fft_aggregated__aggtype_""centroid""",0.006276801683778046
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.006227704896987065
"sigma__fft_coefficient__attr_""real""__coeff_0",0.006184893470742375
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.0060463151247131695
mhl_norm__quantile__q_0.7,0.005982191657611024
d_norm__absolute_sum_of_changes,0.00596197954685986
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.005845799897004746
d_mean__quantile__q_0.1,0.005839054305140837
"mhl_mean__fft_coefficient__attr_""abs""__coeff_0",0.005755843320923646
d_mean__quantile__q_0.2,0.0056752654335462645
mhl_norm__quantile__q_0.4,0.005573822512991131
mhl_norm__abs_energy,0.005370912770033258
"d_mean__fft_aggregated__aggtype_""variance""",0.005356439376513387
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.005331234999275237
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.005272193054839266
loglikelihood__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.005226264708178673
"d_norm__fft_aggregated__aggtype_""centroid""",0.005150554234426975
"d_norm__fft_coefficient__attr_""abs""__coeff_0",0.005029500211064733
"d_mean__linear_trend__attr_""intercept""",0.004957793799770197
d_mean__time_reversal_asymmetry_statistic__lag_3,0.004862734024217107
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.004842185751383144
sigma__quantile__q_0.8,0.004808559789522922
d_mean__abs_energy,0.004682765048637143
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.00466958654186492
"d_mean__fft_coefficient__attr_""real""__coeff_0",0.00452169763417315
d_norm__quantile__q_0.1,0.004515352808921949
d_norm__c3__lag_3,0.0043417135902422375
d_mean__absolute_sum_of_changes,0.004306624587727787
mhl_mean__quantile__q_0.8,0.004306469703097876
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0042236576061168716
d_mean__mean_abs_change,0.004192618716236185
mhl_norm__root_mean_square,0.004191004400620968
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.004183757434641033
"mhl_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.004135313579078357
d_mean__mean_change,0.004071105884266083
