fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
1,1,0,1,0.387239331317885,0.03131912168992024,0.0,0.8303466330624574,0.05605981192275636,5.5994218540069e-09,2.4108675673732905e-09,1.5434647530581643e-05,0.0,0.0,0.39999999999999997,0.4782608695652174,0.3,0.0,0.3273937123648849,0.2930342364531404,0.1422001681347398,0.0,0.40409436645787933,0.3443113473943753,0.15968863207232786,0.6320555319947117,0.3445502548266602,0.3228765582570833,0.18615631708662417,0.6642924313499128,0.42053757747475623,0.35949494445417846,0.18293643327910936,0.8072685319221353,0.19920318725099603,6.27503127225007e-08,0.23423423423423423,0.44999999999999996,0.757479535471993,0.7915066415577723,0.8560076875573646,0.4015610659287537,0.2968055540316068,0.14963297772601936,0.23664786410529126,0.35062273271380584,0.3729997714614586,0.4070609954109081,0.46926354365791867,0.5384795565710848,0.5502043126123964,0.546829015157625,0.570054652313838,0.5840770496970457,0.5928480026339381,0.6037551311261323,0.6101567666161293,0.6154920660987097,0.6206552248215252,0.6235242881123603,0.6262175927582815,0.6290955607529113,0.629187473846753
1,1,1,1,0.42830483218417587,0.014233700455744607,0.0,0.7964560784384078,0.056059812859542646,3.7351411419930856e-09,1.9993049819131155e-09,2.0541798271163058e-05,0.0,0.0,0.5666666666666669,0.5217391304347825,0.40104166666666685,0.0,0.30377887298624273,0.2543898646599656,0.24758392255586292,0.0,0.32687404971115175,0.31823445246666027,0.2795566352585199,0.31968276560170317,0.30813158310322575,0.26597423198665593,0.2593747090463435,0.3716344948864805,0.3310400744140975,0.3166834172073059,0.27800209448068014,0.7137960123989671,0.19123505976095612,4.8659072492764364e-08,0.2297297297297297,0.34999999999999987,0.8140500481401838,0.8842240146716698,0.8936920827629387,0.2914359544662692,0.439513602360869,0.31581676337403597,0.4031253817458037,0.40855348286386994,0.5133567615725622,0.5284494998120884,0.5669044535689828,0.6113093916060882,0.6361661324053797,0.6740795481210337,0.6621292262987123,0.6777948380531608,0.684945596354425,0.6971771128101106,0.7043369468043433,0.7060686720176877,0.7109707228634407,0.713688632153583,0.7148804600468389,0.7175060468680637,0.7176879225145306
1,1,2,1,0.41284852259267635,0.006097856929501096,0.3333333333333333,0.8972472984268602,0.05605981384221843,1.3079911341148656e-09,2.8241234274664956e-09,9.896088801901368e-05,0.0,0.0,0.7000000000000002,0.4347826086956521,0.5556818181818183,0.0,0.3164595794392002,0.2968393733301333,0.1392302045596372,0.0,0.38850888940314077,0.36270458580525955,0.13168604775830062,0.5149759447633198,0.3290814872973468,0.3195968196211012,0.1718490723303091,0.5004483324467133,0.3983032580287607,0.36848038295103996,0.14062984122459987,0.864177385414477,0.20517928286852594,6.27503127225007e-08,0.23648648648648649,0.6499999999999999,0.731115963951877,0.8233985700124702,0.8640375464019459,0.37986375081584617,0.47467087743943137,0.2562260114919219,0.24990244060897215,0.25515011045851144,0.36314656525068845,0.3908703193696803,0.45161729797586914,0.5182951823302863,0.5415569792042919,0.5463616000931538,0.5659378219518353,0.5760063884609176,0.5862175435609224,0.6025838846954003,0.6072165306290583,0.6159245588683554,0.621536618915549,0.6245237485635916,0.6276912923797123,0.6302453948013859,0.6302453948013859
1,1,3,1,0.45715542308049334,0.03265149062159655,0.3333333333333333,0.9074962725433153,0.05605981106165746,2.4852188592721747e-10,2.0927021382718903e-09,0.00040249917506716103,0.0,0.0,0.6000000000000001,0.34782608695652184,0.5399999999999997,0.0,0.04458933854546321,0.21307883647617198,0.27178688788960415,0.0,0.1891658898574453,0.31846040155477473,0.3115745548926512,0.5276674671385804,0.06391102412080618,0.23945805684380028,0.30018638623239635,0.553362441848031,0.20608964913701144,0.32777268317034114,0.32287990380593234,0.7822874953124543,0.20717131474103584,4.745190622623228e-08,0.22747747747747743,0.55,0.8108447000284649,0.7276203415833358,0.8527200009372728,0.5313767434421088,0.4820890685156376,0.2479865331199559,0.2610529457569599,0.3010459372850127,0.3549281705731764,0.3551734015274849,0.4051844037940544,0.45819625765474015,0.478317524743899,0.48087228809933424,0.5085392302604294,0.5230594549878241,0.5370976256568419,0.5466249159288378,0.5550956776022135,0.561342652807565,0.5659221791851262,0.5674181986064745,0.5700410207201897,0.5725941203793209,0.5727065948279778
1,1,4,1,0.38777126297182263,0.02238741766020924,0.0,0.9149100101512702,0.05605981387515194,2.5661314465831193e-09,4.361399867685512e-09,7.656326268848437e-05,0.0,0.0,0.6000000000000001,0.5652173913043477,0.402,0.0,0.2927519466054247,0.3920670512400688,0.3627661649417857,0.0,0.30973684296729287,0.43280642950120596,0.3473518591439264,0.6855506333390498,0.31356883196752655,0.41972192319211893,0.39850425222631713,0.739180457142993,0.3338266244467606,0.4487762278816239,0.3701551491101893,0.6642353570214268,0.2091633466135457,7.689912277094194e-08,0.23873873873873877,0.5,0.8503232480890501,0.8002808972264575,0.8935559803456707,0.38399838863169283,0.5301215638748303,0.10719186037620354,0.1874226247813633,0.18017928736058642,0.21552058796421736,0.25775554271400736,0.2904043853535808,0.31621557471106787,0.3321862219642234,0.3572428264367157,0.3670091028675426,0.3730618380020687,0.37724645310634897,0.3875463417637416,0.3925729172781799,0.3963920774028574,0.400637428653992,0.4018253345028926,0.4040241126044467,0.40615799971015953,0.40606299509750576
1,1,5,1,0.41475628346775906,0.01921874672406995,0.0,0.9781573050783573,0.05605981049187009,7.81107828781798e-09,2.9078074353322797e-09,1.2590848072797037e-05,0.0,0.0,0.5666666666666669,0.4782608695652171,0.42500000000000016,0.0,0.32782840434028393,0.24763168111628753,0.24831866305616757,0.0,0.3256237311277568,0.29145049188722205,0.22906510481064535,0.5396541472812011,0.34121387426643257,0.273606791460959,0.27869946216004204,0.4930244731693021,0.3361215458403229,0.29735918182355553,0.23671546146222333,0.5905949803883122,0.20717131474103584,1.0973982172738923e-07,0.2432432432432432,0.5999999999999999,0.8069814306688117,0.7368665700762413,0.6770019295305707,0.44716959718162236,0.33279828262860733,0.08416246084822754,0.17249507459430835,0.2224955924126537,0.3348699262182243,0.3341637708819616,0.33543090836660294,0.38311338208170387,0.3960796208852283,0.41406713941538786,0.43549016042890365,0.4418032178485165,0.45543250474816166,0.47173108219377224,0.47431816696845963,0.4794652731699399,0.485476831848508,0.4873714941592403,0.4893036293938696,0.49124110112952224,0.49124110112952224
1,1,6,1,0.42998475207655135,0.028234819992956267,0.0,0.8753164802461254,0.05605981265155163,2.613301313998133e-09,3.080929834108502e-09,5.155379612855462e-05,0.0,0.0,0.49999999999999994,0.4782608695652171,0.3750000000000001,0.0,0.21326804070859495,0.04296405934089087,0.297501259312559,0.0,0.32284613899021397,0.1882278119947216,0.36199336189941445,0.8473982513881166,0.2464307932327932,0.10426356136566539,0.349909908825458,0.8504546926290812,0.352154945252764,0.22221170890415642,0.39122119445272036,0.5398592026348847,0.20119521912350596,3.1571347507370955e-08,0.22522522522522523,0.40000000000000013,0.7891358302954838,0.730106742311996,0.8368837769939204,0.46296534101194736,0.49884447612788074,0.1501506756502332,0.1849344078934445,0.25353278766233156,0.3109188050383367,0.3512631419132568,0.3758825055165772,0.40652182735227416,0.4409715675094916,0.43979331497421137,0.4492321512379208,0.46152365227293835,0.4714637981877814,0.4790394972414648,0.48659562586567884,0.4929690834461603,0.4963460703715078,0.5007532463394088,0.5035940928730968,0.5054227761934452,0.505329786077466
1,1,7,1,0.4195774190585813,0.006347588231839858,0.3333333333333333,0.7941074857399926,0.05605981254593802,1.0782973075326628e-09,1.8445442940354083e-09,7.756539778454741e-05,0.0,0.0,0.36666666666666653,0.6086956521739129,0.22596153846153844,0.0,0.1484228313597682,0.2667023886997564,0.21553628799856783,0.0,0.18691113090189448,0.2753894153907277,0.1943916879532499,0.624176748351239,0.17152046715857472,0.2972998763525989,0.2548120810521748,0.6487908789421448,0.21053901663513497,0.29158426562096246,0.2153594266792207,0.912707207494238,0.20119521912350596,6.27503127225007e-08,0.23198198198198194,0.55,0.7800643084058079,0.9285348094246046,0.9580423914648015,0.21216609058516062,0.5331205142804031,0.2756087898637576,0.32548695159484886,0.36737518330780106,0.3497116196692358,0.3981073286458876,0.42945667823112466,0.4682665912332461,0.5037371691664433,0.5146786651414371,0.5204561266225395,0.5349086044775445,0.5387306625069795,0.5503700677735096,0.5554807491293642,0.559448062476739,0.5633404573643267,0.565595544246385,0.5678339866532903,0.5697839170526117,0.5699525654398326
1,1,8,1,0.468115874892823,0.03334034494570289,0.0,0.9362108902236316,0.056059815106519424,2.8742401104563693e-09,5.031730175626601e-09,7.897698573758944e-05,0.0,0.0,0.666666666666667,0.4782608695652174,0.5000000000000001,0.0,0.26762067518050214,0.23413813473407896,0.3224150718582228,0.0,0.3319785253839733,0.27894563621382495,0.39330501523796446,0.2634670133614918,0.2691177765334148,0.24212708128051552,0.3288351318165761,0.2715867992037371,0.3310020477937707,0.27059713801483687,0.38692935443763826,0.73724803234207,0.20717131474103584,2.5087051889579096e-08,0.22297297297297297,0.7,0.8682294800346475,0.7350682641520319,0.7842330887633528,0.494367955809433,0.5318447350776316,0.2949610283753312,0.42223812657922033,0.4774488784549934,0.5140104246743952,0.585812412510211,0.6586115836607201,0.6848040260773872,0.7191337546732565,0.7350715380717273,0.7570200353987163,0.7663447843481309,0.7819564142414678,0.8037580404158414,0.8120901986090906,0.8185042794265945,0.828702926381759,0.8348037470681234,0.840677261083396,0.8430509429685359,0.8430613552183545
1,1,9,1,0.3724895296603943,0.022601621895935158,0.0,0.8566271275341284,0.056059810840472714,6.132082646362045e-09,4.306415331681096e-09,2.8469626446239813e-05,0.0,0.0,0.7333333333333332,0.6521739130434783,0.4462962962962962,0.0,0.2520644855220504,0.19990937876355486,0.2496485842768963,0.0,0.33410067577924196,0.24958381488749137,0.1760734903291561,0.35959785930703614,0.2582261119880179,0.21477605714782522,0.2647766191097537,0.3388335639137532,0.3365836360041614,0.2452363120256199,0.1707270334449582,0.7068788644630835,0.19721115537848605,4.5097260107395863e-08,0.24099099099099094,0.5,0.7625105295256027,0.933730707129115,0.9724314794627433,0.13649072013329855,0.31736740773120464,0.2654481329404028,0.4491521877141652,0.46008642029696645,0.5962179681796614,0.5761466810391612,0.6368334911493368,0.7239676715494049,0.7200911101304618,0.7437565899023347,0.7540784703003086,0.7700102128250629,0.7859832911184624,0.7929533661831921,0.8010803851025178,0.8052385170606821,0.8112235149939554,0.8150370331661215,0.8183946612756449,0.8214877510923452,0.8214004777335028
