fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
1,1,0,1,0.20914794562416267,0.06195450488309638,0.8571428571428572,0.8025544207260467,0.0003174478852117336,2.4025056434811883e-08,1.36978189013755e-08,6.741141196488833e-06,0.8756924231373356,1.0,7.453889935837843e-20,0.3883495145631068,0.035,0.4030611670699457,0.002381678139823939,0.004083000016495786,0.005205781615253339,0.01061749614850115,0.0020531333594715224,0.009296002212582316,0.010957881013537665,0.02261399831605652,0.5209154305841801,0.6266033561127953,0.6364235952566337,0.6427193240746933,0.49189536683534035,0.753874044046937,0.7406987504265856,0.7959277063578025,0.409313508306655,0.043715846994535526,6.183243820117651e-08,0.02229299363057327,0.5889570552147239,0.7411774320697453,0.878287254250818,0.97053843892814,0.03919363483799099,0.7862650961526059,0.9999999999999999,0.16949152542372875,0.12258064516129036,0.10540135033758438,0.6166666666666667,0.13170731707317063,0.10537809107028992,0.2728032110033259,0.272803194680663,0.27280320639544403,0.27280320751349996,0.27280320743804043,0.272803207491869,0.27280320748508524,0.2728032074863289,0.27280320748649617,0.2728032074865125,0.2728032074865141,0.27280320748651504,0.27280320748651615,0.27280320748651615
1,1,1,1,0.18128979107381166,0.04343923867800489,0.42857142857142855,0.7333660998514359,0.00031744106957289124,9.332447768249081e-11,1.0160180867277203e-08,0.0024076885236709645,0.86300459775896,1.0,4.0657581468206416e-20,0.2621359223300971,0.025000000000000026,0.3588747755536345,0.004931774225202682,0.006136772768488933,0.007870660594368056,0.014240363001016625,0.0027432575420587918,0.008405933485381325,0.010123133139638078,0.018513561601971488,0.5277844573711896,0.6344767949130116,0.6446045934669749,0.6528364131510991,0.45187581127613863,0.6916871699231109,0.6794351946377091,0.727947737212231,0.3684494310138471,0.027322404371584702,7.217063139848387e-08,0.04458598726114657,0.49693251533742333,0.7477961153566455,0.9182813471818365,0.9773402774773134,0.04756258295745902,0.78250098502829,0.9999999999999999,0.16949152542372875,0.1193548387096775,0.10829493087557605,0.6416666666666666,0.08292682926829273,0.1650742073162869,0.3129567678935183,0.31295708910552567,0.3129571117898992,0.31295711293185635,0.31295711400838094,0.31295711416415084,0.3129571141032992,0.3129571141112033,0.31295711411432214,0.31295711411497373,0.3129571141147012,0.31295711411471333,0.3129571141147244,0.3129571141147253
1,1,2,1,0.2066676973589521,0.059371938203509556,0.42857142857142855,0.5737936857280733,0.00031743679328835426,2.02469564730046e-09,1.8189246095793832e-08,0.00020094435867278683,0.7360428012574718,1.0,1.4230153513872246e-19,0.3737864077669903,0.06499999999999992,0.2590074307935164,0.0026442273178525714,0.004767689243397342,0.0060932203472796416,0.013230960482315353,0.0017608135079516221,0.008357242883832399,0.00971128024033478,0.02164124503084152,0.5288040588027849,0.6362092859320884,0.6462506755674933,0.655123874174458,0.47226052149642517,0.7237272670853228,0.7109318787411796,0.763310346076334,0.38473582697085584,0.03551912568306016,4.5326865423225914e-08,0.02229299363057327,0.52760736196319,0.7488232249909765,0.9180180583446491,0.9748750691053787,0.03138424628671482,0.7446271138280511,0.9999999999999999,0.22881355932203384,0.10645161290322581,0.14813242784380304,0.7083333333333335,0.05853658536585368,0.2389656106146764,0.12116567916001784,0.12116574649926905,0.12116575414310767,0.12116575748353552,0.12116575692523922,0.12116575694895616,0.12116575693002322,0.12116575693026348,0.12116575693008787,0.1211657569301418,0.12116575693014721,0.1211657569301474,0.1211657569301474,0.12116575693014746
1,1,3,1,0.18697140994434674,0.04811918749154036,0.5714285714285714,0.4087452051769697,0.0003174365534642249,2.775217110946135e-09,1.1060983988518823e-08,8.764083693581061e-05,0.622399875541644,1.0,1.4230153513872246e-19,0.49029126213592217,0.05499999999999995,0.3657988725848789,0.0019954878716190185,0.0031795933154435906,0.004122804673501983,0.009506133337126228,0.0010697543547880863,0.004207827826467242,0.005157282766806222,0.011143680256112247,0.5292612301102888,0.6365496798820955,0.6464911223561567,0.6548958034054594,0.44789930222199503,0.6859257626185931,0.6735158715038599,0.7210510118296345,0.14498818728872065,0.027322404371584702,1.6380967166323533e-07,0.01592356687898086,0.6257668711656441,0.8088205296443736,0.9529560212345825,0.992356562986779,0.04256219691114038,0.7440862647601929,0.9999999999999999,0.2033898305084747,0.10322580645161297,0.14080209241499564,0.6750000000000003,0.0634146341463414,0.21512878100062122,0.1191350835813934,0.11913516812780887,0.11913518510668832,0.11913518903524757,0.11913519109385397,0.1191351910634978,0.1191351911025988,0.11913519110037697,0.11913519110030578,0.11913519110031394,0.11913519110032085,0.11913519110031996,0.11913519110032005,0.11913519110032007
1,1,4,1,0.29189612321400465,0.12088069946353956,0.5714285714285714,0.6165858789541293,0.0003174432051703598,1.7306034342946895e-09,1.4162019247556077e-08,0.0001842338121622155,0.8409591082085551,1.0,8.809142651444724e-20,0.3398058252427183,0.050000000000000044,0.29001463057790783,0.003660413733594919,0.007578755261451314,0.00930056487977851,0.016430956049380538,0.0026003097564225195,0.013356784994186875,0.014875721393046012,0.026928415930802686,0.5575351563696388,0.6711912607901693,0.6819131498676898,0.6980244294784514,0.48569706902382426,0.744672698338961,0.731653405933379,0.7859649151550678,0.3837774812616479,0.01912568306010934,9.331162503353079e-08,0.04777070063694262,0.3619631901840489,0.797566198552589,0.9171218980166183,0.9869140391475026,0.048445739024757434,0.7137614300394898,0.9999999999999999,0.16101694915254244,0.13225806451612906,0.09431977559607292,0.6583333333333332,0.11707317073170738,0.12459866156048122,0.055835591220468314,0.05583570585940946,0.055835725448944815,0.05583572409060396,0.055835725320539945,0.0558357251493818,0.05583572514831457,0.05583572515911432,0.05583572516020578,0.05583572516075162,0.05583572516066475,0.055835725160663666,0.05583572516066636,0.05583572516066644
1,1,5,1,0.2816964697715963,0.1051192159820583,0.7142857142857142,0.6881611548272945,0.0003174441136910097,1.0032439070526131e-08,9.233917365893822e-09,1.5426778741556748e-05,0.8740118009381619,1.0,1.4230153513872246e-19,0.38349514563106796,0.050000000000000044,0.31914776883686913,0.0043986075258550875,0.007364214527800591,0.009283289158952827,0.019284923352486542,0.003391368349528079,0.014122355316516644,0.017041778338838104,0.03653116965893604,0.5732951318887977,0.6898691210580246,0.7009443088092776,0.7217038516265439,0.5008854853600998,0.7677011842514482,0.7545190560726553,0.8119483210462256,0.3274793955825559,0.016393442622950838,6.510531169638166e-08,0.03184713375796175,0.42944785276073605,0.767829369573001,0.9237150555430671,0.987832671971201,0.034985812462035804,0.8029143478231582,0.9999999999999999,0.1864406779661016,0.09032258064516127,0.15102639296187687,0.6666666666666667,0.1463414634146341,0.10233987989996976,1.0000056338554941e-12,1.952426279261399e-07,3.245200071305687e-07,3.3295688318946137e-07,3.337089943267202e-07,3.342722108695684e-07,3.3440239069482125e-07,3.343964642271713e-07,3.3439561822334873e-07,3.343956446744123e-07,3.3439567945214854e-07,3.3439567966031536e-07,3.343956794799041e-07,3.3439567911908163e-07
1,1,6,1,0.19998236090365543,0.05457463119080573,0.42857142857142855,0.6170631594502848,0.00031744151555474425,8.409828295074798e-09,1.1831394734984587e-08,2.6581127300648926e-05,0.7507641633816126,1.0,8.809142651444724e-20,0.35436893203883496,0.02999999999999992,0.4087051938551574,0.003238945027661077,0.006218216461220197,0.007614340034820252,0.014786418435649614,0.0020561235684394825,0.009911454216915055,0.01130265647375364,0.02276397969084924,0.5494764130588043,0.6612883649753687,0.671766108866693,0.6858464019917174,0.4764585528576157,0.7302621561110928,0.7173971841631993,0.7702903742477788,0.42480334878729153,0.027322404371584702,5.57641562372024e-08,0.00955414012738856,0.6134969325153372,0.78299021307971,0.923186557989514,0.9716352245875055,0.0506935004410522,0.6820989504551332,0.9999999999999999,0.16949152542372875,0.1258064516129033,0.10263929618768328,0.6416666666666666,0.1609756097560976,0.09017791146142075,0.20071811521433053,0.2007181883238306,0.20071822766231,0.20071822586468818,0.20071822645739007,0.20071822634929137,0.20071822636842368,0.20071822636903214,0.20071822636899583,0.20071822636918668,0.2007182263692136,0.20071822636921133,0.2007182263692136,0.20071822636921333
1,1,7,1,0.18701469288887893,0.04652691092418922,0.42857142857142855,0.5022721499582212,0.00031743999523746127,4.07043292890872e-09,9.576972999131351e-09,4.955508351625234e-05,0.6918231825076894,1.0,1.0164395367051604e-19,0.4029126213592232,0.025000000000000026,0.49541796900977614,0.0028400110061672563,0.004674439766791468,0.006411747451288168,0.013944097778847895,0.0020517806284764523,0.009447850266020198,0.01162888622045591,0.02750242874697719,0.5759306742121719,0.6929080840382035,0.7039996146853496,0.724813786519122,0.5044826708214175,0.7732271825844409,0.7598268113960085,0.8174051988515701,0.30876430433892077,0.01912568306010934,7.99900751921642e-08,0.00955414012738856,0.5950920245398772,0.7687044852364675,0.9474335407648029,0.9881887583587914,0.0199383044504777,0.712913932424634,0.9999999999999999,0.17796610169491534,0.09032258064516127,0.14662756598240467,0.6500000000000001,0.09268292682926832,0.15173241973651677,0.045325200150627534,0.04532520965182597,0.045325217909082685,0.045325220027426685,0.04532522110960034,0.045325220987145795,0.045325221029223775,0.04532522102817256,0.04532522102822807,0.045325221028075055,0.04532522102812257,0.04532522102814544,0.0453252210281435,0.04532522102814353
1,1,8,1,0.27548686765930375,0.10601735012163817,0.42857142857142855,0.5066162964631683,0.0003174369356646215,1.816370500269419e-08,1.1867408151727798e-08,8.799917070118438e-06,0.864996821212841,1.0,1.6263032587282567e-19,0.28640776699029113,0.050000000000000044,0.25440746159473304,0.004540189031473488,0.007773554760868349,0.01031272500363226,0.021442206899630372,0.0028939153510749707,0.012540012302026468,0.01545234016537123,0.03292075809589495,0.5358554062356647,0.6448366561747716,0.6553578009782461,0.6672512237833185,0.4698834483187936,0.7201156003605511,0.7077198771507394,0.7606397565544665,0.4198365784591538,0.016393442622950838,1.2055340655475843e-07,0.02547770700636945,0.5766871165644172,0.7549954127103033,0.9103023551973974,0.9799648942373986,0.02278108505563123,0.7649229340389823,0.9999999999999999,0.19491525423728817,0.10645161290322581,0.1328522920203735,0.6833333333333333,0.11219512195121949,0.13390699120458127,0.21251900563234083,0.21251953221954623,0.21251946566920604,0.21251947098756063,0.21251947153952155,0.21251947167714164,0.21251947168112278,0.21251947168363916,0.21251947168247354,0.2125194716825936,0.2125194716825589,0.21251947168256136,0.2125194716825613,0.2125194716825613
1,1,9,1,0.2255688994240427,0.07173537745533365,0.5714285714285714,0.642270850927563,0.0003174403562489575,1.817111428531441e-08,9.380309201720929e-09,5.733285322616235e-06,0.8258763030789743,1.0,6.098637220230962e-19,0.3300970873786406,0.06999999999999999,0.22138990490124366,0.005341899610450557,0.007681987451483705,0.011665496057055443,0.029372456203826298,0.002939848498882313,0.011171954917899747,0.015153640781318204,0.03956636600958838,0.5209986422068328,0.6265891828174688,0.6372728005522379,0.6477516420992067,0.4508671606342811,0.6905828840229966,0.6789083240361827,0.7307213583884229,0.41482057312437304,0.027322404371584702,2.1139551251783941e-07,0.06050955414012743,0.5950920245398772,0.7809524236142675,0.9277166287467811,0.9891123157855932,0.04718005860098412,0.7668681527566945,0.9999999999999999,0.16101694915254244,0.054838709677419384,0.21480938416422285,0.6583333333333332,0.13170731707317063,0.11175458364997423,0.12475845663003911,0.12475820251827897,0.12475815714057482,0.12475817224800372,0.12475817095055843,0.1247581729024453,0.1247581726216329,0.12475817265318247,0.12475817266005083,0.12475817265942533,0.12475817265915047,0.1247581726592125,0.12475817265922269,0.12475817265922194
