feature,importance
pc_norm__c3__lag_1,0.011579703136972605
"pc_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.010556057196618982
d_norm__minimum,0.010179267272816215
"pc_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.009320353459477668
"pc_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.008987258462140385
pc_norm__c3__lag_3,0.00856224722328109
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.008553224934176812
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.008537604977838528
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.00825495393322095
"pc_norm__fft_coefficient__attr_""abs""__coeff_0",0.008064387561514891
"ps_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.007980622467790709
sigma__mean,0.007584084096892094
sigma__median,0.00755472697390538
pc_norm__sum_values,0.007363077616932109
"mhl_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.007188184048344615
"sigma__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.0069937465071502405
d_mean__mean_abs_change,0.0066149345313831565
"pc_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.006571035940526845
"pc_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.006261249864334373
d_mean__cid_ce__normalize_False,0.006213331412900329
d_mean__minimum,0.006128443258144391
"d_mean__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.0058569097386112845
"pc_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.005713208431110447
d_norm__time_reversal_asymmetry_statistic__lag_1,0.0057053302344422
"d_mean__linear_trend__attr_""slope""",0.005579882299989566
"pc_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.0055636157758814616
"sigma__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.005470301297443549
"sigma__linear_trend__attr_""slope""",0.005412884186960715
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.005166439424901203
"ps_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.005097776413625676
d_mean__time_reversal_asymmetry_statistic__lag_1,0.0050271419825221745
d_norm__cid_ce__normalize_False,0.004916024637324443
pc_mean__median,0.0049035213274719
d_norm__quantile__q_0.1,0.004881705764076602
d_norm__variance,0.004877255007283527
"sigma__fft_aggregated__aggtype_""centroid""",0.004754771871470074
"d_mean__fft_aggregated__aggtype_""variance""",0.004667916441372485
"pc_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.004619419468963843
pc_norm__c3__lag_2,0.004415440423075388
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.004390214295466779
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.004384921462586954
"ps_norm__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.004379980238010143
d_mean__quantile__q_0.1,0.004371334163249717
"d_norm__fft_coefficient__attr_""real""__coeff_8",0.004331049517086529
"mhl_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0043059430898791315
